# IN2FIT knowledge facts. docs/decisions/0015 and 0020.
#
# EVERY ROW CITES A REAL SOURCE THAT WAS READ ON THE DATE IN `accessed`. A fact without a source
# does not go in this file, and the loader refuses a row with a blank source. This is the same
# discipline as the food database: when someone asks how hallucination is handled, the answer is
# that every claim the model makes on the ANSWER and RECOMMEND paths traces to a row here or to a
# row in the database.
#
# fact       : the sentence handed to the model. English (see the KnowledgeFact doc for why no
#              language column). Every number in it is the number the app is then allowed to
#              say; the numeric guard permits nothing else. Where a figure is rounded, `note`
#              carries the exact source figure.
# tags       : retrieval keys, `|`-separated, matched as whole words in the request text.
#              Roman-script Telugu and Hindi food words are included where the food database
#              already uses them, so that what the recogniser emits can hit a row.
# source     : the citation as a reader would write it.  source_url : where it was read.
#
# WHAT IS DELIBERATELY NOT HERE.
#  - No diagnostic thresholds (haemoglobin cut-offs, glucose ranges). The reference range comes
#    from the person's own report, and a threshold row would let the model turn "below the
#    range printed on it" into a diagnosis.
#  - No composition values from IFCT 2017 or INDB, in any form (decision 0002). The ICMR-NIN
#    documents cited here are used for REQUIREMENTS, GUIDANCE and the glycaemic-index annexure
#    (which is from Devindra et al., not from the composition tables), never for a nutrient
#    content figure. The DGI's own nutrient tables cite IFCT 2017 and are not used.
#  - No per-100 g nutrient figures that the food database already carries for the eight
#    nutrients it tracks. Those come from the database, as figures, on the day; a row here
#    would be a second copy that could drift.
#  - No row that tells the person to take, stop or change a medicine or supplement.
#
# Sources on this date: ICMR-NIN RDA 2020 brief note; ICMR-NIN Dietary Guidelines for Indians
# 2024; WHO healthy-diet fact sheet; NIH/NCBI StatPearls (Dietary Iron); Linus Pauling Institute
# (iron, calcium, vitamin C, vitamin B12); Harvard Nutrition Source (iron, protein, GI, fibre,
# fats); Atkinson et al. 2008 GI tables; NHLBI DASH; USDA FoodData Central by fdcId.
id,topic,tags,fact,source,source_url,accessed,note
iron.tea_coffee_polyphenols,iron,iron|tea|chai|coffee|absorption|anaemia|anemia,"Polyphenolic compounds in coffee, black tea and herbal tea can markedly inhibit the absorption of non-haem iron.",Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,
iron.tea_timing,iron,tea|chai|coffee|iron|absorption|timing|meal|anaemia|anemia|haemoglobin|hemoglobin|hb,"Beverages like tea bind dietary iron and make it unavailable, so they are best avoided for at least an hour before, during or soon after a meal.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline text, 'Eat iron-rich foods'."
iron.calcium_inhibits,iron,calcium|milk|curd|paalu|dairy|iron|absorption,Calcium decreases iron absorption from both non-haem and haem sources.,Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,LPI calcium page: 'The presence of calcium decreases iron absorption from nonheme sources.'
iron.soy_inhibits,iron,soy|soya|tofu|iron|absorption,"Soy protein, such as that found in tofu, has an inhibitory effect on iron absorption.",Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,
iron.milk_poor_source,iron,milk|paalu|doodh|iron|calcium|anaemia|anemia|haemoglobin|hemoglobin|hb,Milk is the best source of biologically available calcium but is a poor source of iron.,"ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
iron.cookware,iron,iron|cookware|kadai|pot|vessel|cooking|anaemia|anemia|haemoglobin|hemoglobin|hb,"Cooking in iron cookware significantly increases the iron content of food: iron content and absorption were 1.5 to 3.3 times higher when meat, vegetables and legumes were prepared in iron pots.","StatPearls: Dietary Iron (Moustarah F, Daley SF), NCBI Bookshelf NBK540969, last update 8 January 2024",https://www.ncbi.nlm.nih.gov/books/NBK540969/,2026-09-20,
iron.sprouted_fermented,iron,sprouts|sprouted|fermented|idli|dosa|iron|absorption|guava|orange|haemoglobin|hemoglobin|hb,"The bioavailability of iron can be improved by using fermented and sprouted grains, and by eating foods rich in vitamin C such as guava and orange along with meals.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
iron.vegetarian_needs_more,iron,vegetarian|vegan|iron|requirement|anaemia|anemia,"Because non-haem iron is less bioavailable, people on a plant-based diet need a higher iron intake than people who eat animal products; the iron allowance for a completely vegetarian diet may be 1.8 times the allowance for non-vegetarians.",Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,The 1.8 factor is LPI's; the first clause is StatPearls'.
iron.rda_india,iron,iron|rda|requirement|daily|how much iron|men|women|anaemia|anemia|haemoglobin|hemoglobin|hb,The ICMR-NIN 2020 recommended dietary allowance for iron is 19 mg per day for adult men and 29 mg per day for adult women; the estimated average requirements are 11 mg and 15 mg.,"ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Tables 3 and 4 of the brief note.
iron.upper_limit,iron,iron|upper limit|too much|supplement,"The tolerable upper intake level for iron for adolescents and adults, including pregnant and breastfeeding women, is 45 mg per day.",Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,Harvard gives the same 45 mg for ages 14 and over.
iron.lentils_spinach_serving,iron,lentils|masoor|dal|beans|spinach|palak|palakura|tofu|iron|serving|haemoglobin|hemoglobin|hb,"Half a cup of cooked lentils provides about 3.3 mg of iron, half a cup of cooked white beans about 3.3 mg, one cup of cooked spinach about 6.4 mg, and half a cup of raw regular tofu about 6.6 mg.",Linus Pauling Institute Micronutrient Information Center: Iron (reviewed May 2016),https://lpi.oregonstate.edu/mic/minerals/iron,2026-09-20,LPI food table. The database carries USDA iron per 100 g for these foods; these are per-serving figures from a second source and agree with it.
vitc.must_eat,vitc,vitamin c,Humans cannot synthesise vitamin C and must obtain it from the diet.,Linus Pauling Institute Micronutrient Information Center: Vitamin C,https://lpi.oregonstate.edu/mic/vitamins/vitamin-C,2026-09-20,
vitc.rda_india,vitc,vitamin c|rda|requirement|how much vitamin c,The ICMR-NIN 2020 recommended dietary allowance for vitamin C is 80 mg per day for adult men and 65 mg per day for adult women.,"ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Tables 3 and 4 of the brief note; EARs are 65 mg and 55 mg.
vitc.sources_india,vitc,vitamin c|citrus|lemon|orange|guava|jama|amla|usirikaya|tomato,"Vitamin C is abundantly available in fresh citrus fruits, guava, amla and certain vegetables such as tomatoes, and it promotes iron absorption.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
vitc.sources_serving,vitc,orange|capsicum|pepper|broccoli|tomato|vitamin c|serving,"One navel orange provides about 83 mg of vitamin C, half a cup of raw sweet red pepper about 59 mg, half a cup of cooked broccoli about 51 mg, and one medium raw tomato about 17 mg.",Linus Pauling Institute Micronutrient Information Center: Vitamin C,https://lpi.oregonstate.edu/mic/vitamins/vitamin-C,2026-09-20,
vitc.guava_100g,vitc,guava|jama|amrood|vitamin c|fibre,"Common guava, raw, has about 228 mg of vitamin C, 5.4 g of fibre and 417 mg of potassium per 100 g.","USDA FoodData Central, SR Legacy, fdcId 173044: Guavas, common, raw",https://fdc.nal.usda.gov/food-details/173044/nutrients,2026-09-20,Read from the FoodData Central API on the access date.
vitc.cooking_loss,vitc,vitamin c|cooking|fry|stir fry|boil|steam|time,"Vitamin C may be lost during stir-frying, and cooking time affects vitamin C loss more than the cooking method: the longer the cooking, the greater the loss.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline 13, cooking methods."
protein.rda_india,protein,protein|rda|requirement|how much protein|daily,"The ICMR-NIN 2020 protein RDA for healthy adults is 0.83 g per kg of body weight per day, with an estimated average requirement of 0.66 g per kg: about 54 g per day for a 65 kg man and about 46 g for a 55 kg woman.","ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Table 2a gives 54.0 g and 45.7 g; 45.7 is rounded to 46 here.
protein.cereal_based_needs_more,protein,protein|vegetarian|rice|roti|cereal|requirement,"For people eating a cereal-based diet with low-quality protein, ICMR-NIN puts the protein requirement at 1 g per kg of body weight per day.","ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Footnote to Table 2a; Table 2b keeps the 2010 figure of 1 g/kg for vegetarians.
protein.share_of_energy,protein,protein|energy|percent|balanced,Ideally 10% to 15% of daily energy should come from protein.,"ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 8.
protein.cereal_pulse_3_to_1,protein,protein|dal|pappu|rice|annam|roti|chapati|pulses|cereal|amino acid|lysine|milk|vegetarian|quality|combination,"Cereals are low in lysine and pulses are low in methionine and cysteine, so combining cereals with pulses in a 3:1 ratio by raw weight can meet the requirement for all essential amino acids; adding 250 ml of milk a day further improves the amino acid intake.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 8. The RDA 2020 brief note gives the diet composition as cereal:legume:milk 3:1:2.5.
protein.pulses_plus_grains,protein,dal|rice|roti|pulses|grains|protein|quality|meal,A meal containing both pulses and grains supplies all the amino acids and is of higher quality than a diet of pulses alone or grains alone.,"ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Note to Table 8.1.
protein.plant_variety,protein,vegan|vegetarian|protein|amino acids|plant,Someone who avoids animal products can get all the amino acids they need by eating a variety of protein-containing plant foods each day.,"Harvard T.H. Chan School of Public Health, The Nutrition Source: Protein",https://nutritionsource.hsph.harvard.edu/what-should-you-eat/protein/,2026-09-20,
protein.lentils_cup,protein,lentils|masoor|dal|protein|serving,One cup of cooked lentils contains about 18 g of protein.,"Harvard T.H. Chan School of Public Health, The Nutrition Source: Protein",https://nutritionsource.hsph.harvard.edu/what-should-you-eat/protein/,2026-09-20,
protein.complete_sources,protein,protein|egg|milk|chicken|fish|meat|pulses|dal|moong|urad|chana|rajma|cowpea|bobbarlu|soya|amino acids,"Animal-source proteins from meat, poultry, fish, egg and milk contain all nine essential amino acids; pulses such as lentils, green gram, black gram, chickpeas, kidney beans, cowpeas, soybean and green peas are all rich plant sources of protein.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline 8, 'What are the sources of proteins?'"
protein.nuts_seeds,protein,nuts|seeds|peanuts|palli|almonds|badam|cashew|sesame|nuvvulu|flax|chia|protein,"Nuts and seeds such as almonds, pistachios, cashews, walnuts, hazelnuts, chia seeds, pumpkin seeds, flax seeds and sesame seeds contain substantial protein.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
protein.pulses_value,protein,pulses|dal|pappu|protein|budget|cheap|hostel|fibre|iron|potassium|zinc|magnesium,"Protein from pulses is less expensive than protein from meat, eggs or milk, and pulses are low-fat, high-fibre foods that also supply iron, potassium, zinc and magnesium.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
protein.egg_for_dal,protein,egg|guddu|anda|dal|substitute|swap|protein|non vegetarian|chicken|fish,"A portion of pulse (dal) can be substituted with fish, chicken, meat or egg; for non-vegetarians, 30 g of pulses may be substituted with meat or eggs.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Two table footnotes in Guideline 1 and Guideline 2.
protein.vegetarian_digestibility,protein,vegetarian|vegan|protein|digestibility|quality,"Most vegetarian foods have a protein digestibility of 70% to 85%; a balanced vegan diet for a moderately active man provides more than 80 g of crude protein a day, which translates to approximately 60 g of quality protein.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,
protein.supplements,protein,protein powder|supplement|whey|gym|muscle|bodybuilding,Taking protein supplements on top of a normal balanced diet is not going to build more muscle: muscle protein building after exercise stabilises at the protein intake found in a diverse meal.,"ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 8.
protein.needs_energy_and_exercise,protein,protein|muscle|gym|exercise|workout|strength,"Dietary protein is not used efficiently for muscle without adequate energy from carbohydrate and fat, and without physical activity or resistance exercise it is not used for muscle building at all.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 8.
protein.healthier_choices,protein,protein|meat|red meat|processed|bacon|chicken|fish|beans|nuts,"Healthier protein choices are fish, poultry, beans and nuts; red meat and cheese are best limited, and bacon, cold cuts and other processed meats avoided.","Harvard T.H. Chan School of Public Health, The Nutrition Source: Protein",https://nutritionsource.hsph.harvard.edu/what-should-you-eat/protein/,2026-09-20,The Healthy Eating Plate guidance quoted on the page.
b12.animal_sources,b12,b12|vitamin b12|vegan|vegetarian|milk|curd|egg|meat|fish,"Vitamin B12 is present in animal products such as meat, poultry, fish and shellfish, and to a lesser extent in dairy products and eggs; strict vegetarians who eat no animal products need supplemental vitamin B12 to meet their requirement.",Linus Pauling Institute Micronutrient Information Center: Vitamin B12 (updated October 2023),https://lpi.oregonstate.edu/mic/vitamins/vitamin-B12,2026-09-20,The second clause is verbatim. The app never tells a person to take a supplement; the model may report that the source says this and that a doctor can say whether it applies.
b12.vegetarian_sources_india,b12,b12|vitamin b12|curd|perugu|dahi|yoghurt|egg|vegetarian,"Vitamin B12 can be sourced from yoghurt or curd, eggs and flesh foods.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline 2, pregnancy section, but stated generally."
b12.rda_india,b12,b12|vitamin b12|rda|requirement,"The ICMR-NIN 2020 recommended dietary allowance for vitamin B12 is 2.2 micrograms per day for adults, with an estimated average requirement of 2 micrograms.","ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Tables 3 and 4.
b12.serving_examples,b12,b12|vitamin b12|milk|egg|fish|chicken|serving,"An 8-ounce cup of milk provides about 1.3 micrograms of vitamin B12, one large poached egg about 0.4 micrograms, 3 ounces of salmon about 2.4 micrograms, 3 ounces of chicken about 0.3 micrograms and 3 ounces of beef about 7 micrograms.",Linus Pauling Institute Micronutrient Information Center: Vitamin B12 (updated October 2023),https://lpi.oregonstate.edu/mic/vitamins/vitamin-B12,2026-09-20,"LPI food table, US serving sizes as printed. The database carries USDA B12 per 100 g for milk, curd and egg."
b12.older_adults,b12,b12|vitamin b12|elderly|older|age|absorption,The normal digestive function needed to absorb food-bound vitamin B12 is commonly impaired in people over 60 years of age.,Linus Pauling Institute Micronutrient Information Center: Vitamin B12 (updated October 2023),https://lpi.oregonstate.edu/mic/vitamins/vitamin-B12,2026-09-20,
calcium.rda_india,calcium,calcium|rda|requirement|how much calcium|bones,"The ICMR-NIN 2020 recommended dietary allowance for calcium is 1000 mg per day for adult men and women, with an estimated average requirement of 800 mg.","ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Tables 3 and 4.
calcium.sources_india,calcium,calcium|milk|paalu|curd|perugu|sesame|nuvvulu|til|ragi|thotakura|amaranth|greens|bones,"Milk, curd, sesame seeds, ragi and green leafy vegetables like amaranth are good sources of calcium.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline 5. The app holds no composition data for ragi, so it can name ragi here but cannot put a figure on it (decision 0002)."
calcium.serving_examples,calcium,curd|yoghurt|yogurt|milk|tofu|kale|broccoli|calcium|serving,"Eight ounces of plain low-fat yoghurt provides about 415 mg of calcium, 8 ounces of milk about 300 mg, half a cup of calcium-set tofu about 434 mg, half a cup of cooked kale about 47 mg and half a cup of cooked broccoli about 31 mg.",Linus Pauling Institute Micronutrient Information Center: Calcium (updated May 2017),https://lpi.oregonstate.edu/mic/minerals/calcium,2026-09-20,"LPI food table, US serving sizes as printed."
calcium.vitamin_d_needed,calcium,calcium|vitamin d|absorption|bones,Vitamin D is required for optimal calcium absorption.,Linus Pauling Institute Micronutrient Information Center: Calcium (updated May 2017),https://lpi.oregonstate.edu/mic/minerals/calcium,2026-09-20,
calcium.sunlight,calcium,vitamin d|sunlight|sun|calcium|bones,"Exposure to sunlight, about 30 minutes and preferably between 11 am and 2 pm, maintains vitamin D status, which helps calcium absorption.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 5.
calcium.oxalate_phytate,calcium,spinach|palak|palakura|calcium|oxalate|absorption|bran,"Oxalate is the most potent inhibitor of calcium absorption and is found at high concentrations in spinach; phytate, concentrated in wheat bran, is a less potent inhibitor.",Linus Pauling Institute Micronutrient Information Center: Calcium (updated May 2017),https://lpi.oregonstate.edu/mic/minerals/calcium,2026-09-20,
calcium.exercise,calcium,calcium|bones|exercise,Regular exercise reduces calcium loss and strengthens bones.,"ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 5.
micronutrients.rda_india,rda,zinc|magnesium|folate|folic acid|vitamin a|vitamin d|rda|requirement,ICMR-NIN 2020 adult RDAs: zinc 17 mg per day for men and 13 mg for women; magnesium 440 mg and 370 mg; folate 300 and 220 micrograms DFE; vitamin A 1000 and 840 micrograms; vitamin D 600 IU for both.,"ICMR-NIN, A Brief Note on Nutrient Requirements for Indians, the Recommended Dietary Allowances (RDA) and the Estimated Average Requirements (EAR), 2020",https://www.nin.res.in/rdabook/brief_note.pdf,2026-09-20,Tables 3 and 4.
gi.refined_grains_higher,glycaemic,refined|maida|polished|whole grain|atta|brown rice|white rice|diabetes|blood sugar|gi,"Grains that have been milled and refined, removing the bran and the germ, have a higher glycaemic index than minimally processed whole grains.","Harvard T.H. Chan School of Public Health, The Nutrition Source: Carbohydrates and Blood Sugar",https://nutritionsource.hsph.harvard.edu/carbohydrates/carbohydrates-and-blood-sugar/,2026-09-20,
gi.fat_acid_fibre_slow,glycaemic,fibre|fat|acid|lemon|tamarind|chintapandu|curd|vinegar|blood sugar|diabetes|gi,"Meals with fat or acid are converted more slowly into sugar, and high-fibre foods slow digestion because they contain less digestible carbohydrate.","Harvard T.H. Chan School of Public Health, The Nutrition Source: Carbohydrates and Blood Sugar",https://nutritionsource.hsph.harvard.edu/carbohydrates/carbohydrates-and-blood-sugar/,2026-09-20,
gi.ripeness,glycaemic,banana|arati|fruit|ripe|gi|blood sugar,Ripe fruits have a higher glycaemic index than unripe ones.,"Harvard T.H. Chan School of Public Health, The Nutrition Source: Carbohydrates and Blood Sugar",https://nutritionsource.hsph.harvard.edu/carbohydrates/carbohydrates-and-blood-sugar/,2026-09-20,
gi.sugar_refined_insulin,glycaemic,sugar|refined|maida|white bread|biscuits|sweets|diabetes|insulin|blood sugar,"Foods containing sugar or refined carbohydrates have a high glycaemic index, promote rapid absorption of glucose and cause a sharp rise in insulin; regular intake of high-sugar foods at frequent intervals keeps insulin higher than normal.","ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,Guideline 9.
gi.fibre_delays_absorption,glycaemic,fibre|fiber|blood sugar|diabetes|cholesterol|satiety|insulin,Dietary fibre delays and retards the absorption of carbohydrates and fats and increases satiety; diets rich in fibre reduce glucose and lipids in the blood and improve insulin sensitivity.,"ICMR-NIN Expert Committee, Dietary Guidelines for Indians 2024",https://nin.res.in/dietaryguidelines/pdfjs/locale/DGI_2024.pdf,2026-09-20,"Guideline 1, 'Dietary fibre'."
