# Authored reference recipes. Spec 13.2.
#
# A reference recipe is a STATED COMPOSITION, not a measurement of anyone's cooking. It is shown
# to the user, it is editable, and every figure derived from one carries the Approximate band via
# AUTHORED_REFERENCE_RECIPE. It is the opposite of inventing a nutrition number: the composition
# is visible and correctable.
#
# ABSORBED OIL IS THE NUMBER THAT MATTERS HERE.
# Counting a whole frying bath as consumed is what made a rejected public dataset read
# 745 kcal/100 g for a plain vada. These columns exist so a reviewer can challenge the fraction
# directly instead of reverse-engineering it from a calorie total:
#
#   oil_method        DEEP_FRY | SHALLOW_FRY | TEMPER | NONE
#   absorbed_oil_g    grams of fat the finished dish actually retains
#   absorbed_basis    how that number was arrived at, as arithmetic
#   absorbed_reason   why that fraction, in words a reviewer can argue with
#
# THE TEMPERING DISTINCTION. Tempering oil (tadka, popu) is poured into the dish and eaten in
# full, so 100% of it counts. Frying-bath oil is not eaten; only what the food retains counts.
# Treating those two the same is the error being avoided.
#
# water_change_g is stated, not inferred: yield_g must equal the sum of ingredient grams plus
# water_change_g exactly, and the importer fails if it does not. Positive means water absorbed
# (rice, dal), negative means evaporation (curries reduced on the stove).
#
# moisture_class is a BAND CHECK, not an accuracy check. The importer derives each finished
# dish's moisture-plus-ash fraction as 100 minus protein, carbohydrate and fat per 100 g, and
# fails if it falls outside the band for this class. It cannot tell a right number from a nearly
# right one. It catches the order-of-magnitude error, which is the one that reaches the screen
# looking calm: it is what caught idli reading 227 kcal/100 g, as dense as a dry griddle roti,
# because its stated yield left a steamed food at 45 % moisture.
recipe_key,display_name,aliases_roman,aliases_native,servings,serving_g,yield_g,water_change_g,oil_method,absorbed_oil_g,absorbed_basis,absorbed_reason,note,moisture_class
aloo_curry,Aloo curry,aloo curry|potato curry|bangaladumpa kura|aloo kura,బంగాళాదుంప కూర,4,152,606,-60,TEMPER,25,all 25 g of cooking oil,Tempering and sauteing oil stays in the gravy and is eaten in full.,,GRAVY
chana_masala,Chana masala,chana masala|chhole|senagala kura|chole,చోలే,4,160,640,120,TEMPER,25,all 25 g of cooking oil,Chickpeas absorb water while cooking; the gravy reduces afterwards.,,GRAVY
rice_kheer,Payasam,payasam|kheer|paramannam|rice payasam,పాయసం,4,159,637,90,TEMPER,15,all 15 g of ghee,Ghee is stirred through and eaten in full.,,SOFT_GRAIN
chai,Chai (tea with milk and sugar),tea|chai|chaya|milk tea|tea with milk|cutting chai,టీ|తీ|చాయ్|చాయ|चाय|टी,1,200,200,-10,NONE,0,n/a,"Nothing is fried; the tea, milk and sugar are boiled together.","A bare 'tea' is this, not black tea: the Indian default is with milk and sugar. Composition per cup: 100 g brewed tea, 100 g whole milk, 10 g sugar, boiled down to 200 g. te/hi aliases GENERATED, unreviewed: see log-words-review.md",THIN_SOUP
coffee_milk,Coffee with milk and sugar,coffee|filter coffee|milk coffee|kaapi|kaafi|coffee with milk,కాఫీ|కాపీ|कॉफी|कॉफ़ी,1,200,200,-10,NONE,0,n/a,Nothing is fried.,"A bare 'coffee' is this, not black coffee: the Indian default is with milk and sugar. Composition per cup: 100 g brewed coffee, 100 g whole milk, 10 g sugar, to 200 g. te/hi aliases GENERATED, unreviewed: see log-words-review.md",THIN_SOUP
fried_egg,Fried egg,fried egg|egg fry|sunny side up|half fry|full fry|bull's eye,,1,55,55,-6,SHALLOW_FRY,5,5 g pan oil for one egg,Pan oil is absorbed by the egg and eaten in full; one egg takes about a teaspoon.,"One egg fried in a teaspoon of oil. Not the raw egg record: the sweep found 'fried egg' collapsing onto it, dropping the oil.",EGG
egg_bhurji,Egg bhurji,egg bhurji|anda bhurji|bhurji|scrambled egg|scrambled eggs|egg podimas,,2,80,160,-27,SHALLOW_FRY,10,10 g pan oil for two eggs,Pan oil is absorbed and eaten in full.,"Two eggs scrambled with onion, tomato and green chilli.",EGG
bread_butter,Bread and butter,bread butter|bread and butter|butter bread|butter toast|buttered toast|toast,,1,68,68,0,NONE,0,n/a,,Two slices of white bread with 10 g butter. The sweep found 'bread butter' collapsing onto butter alone.,GRIDDLE_BREAD
cheese_sandwich,Cheese sandwich,cheese sandwich|cheese toast|grilled cheese,,1,83,83,0,NONE,0,n/a,,"Two slices of bread, one slice of processed cheese, a little butter.",GRIDDLE_BREAD
egg_sandwich,Egg sandwich,egg sandwich|boiled egg sandwich,,1,119,119,0,NONE,0,n/a,,Two slices of bread with one boiled egg and a little butter.,MIXED_PLATE
jeera_rice,Jeera rice,jeera rice|cumin rice|zeera rice|jeera pulao,,3,185,560,339,TEMPER,15,all 15 g of ghee,Ghee is stirred through the rice and eaten in full.,Rice cooked with ghee and cumin. The sweep found 'jeera rice' resolving to cumin.,SOFT_GRAIN
ghee_rice,Ghee rice,ghee rice|nei choru|neychoru|ney sadam,,3,200,600,334,TEMPER,20,all 20 g of ghee,Ghee is the cooking fat and is eaten in full.,"Rice cooked in ghee with cashew, onion and whole spices.",SOFT_GRAIN
tomato_rice,Tomato rice,tomato rice|tomato bath|tomato bhath|thakkali sadam|tomato pulao,,4,180,720,295,TEMPER,20,all 20 g of tempering oil,Tempering oil is stirred through and eaten in full.,Rice with a tomato-onion tempering. The sweep found 'tomato rice' resolving to tomato.,SOFT_GRAIN
coconut_rice,Coconut rice,coconut rice|kobbari annam|thengai sadam,,3,205,620,325,TEMPER,15,all 15 g of tempering oil,Tempering oil is stirred through and eaten in full.,Rice with fresh coconut and a mustard-urad tempering. The sweep found 'coconut rice' resolving to coconut.,SOFT_GRAIN
cold_coffee,Cold coffee,cold coffee|iced coffee|cafe frappe,,1,265,265,0,NONE,0,n/a,,"Milk, brewed coffee and sugar, blended. The sweep found 'cold coffee' resolving to hot milk coffee; this is the colder, milkier, sweeter drink. Ice cream, when added, is not in this composition.",THIN_SOUP
banana_shake,Banana milkshake,banana shake|banana milkshake|banana smoothie,,1,310,310,0,NONE,0,n/a,,"Milk, one banana and sugar. The sweep found 'banana shake' resolving to a plain banana.",THIN_SOUP
sweet_lassi,Sweet lassi,sweet lassi|lassi|meethi lassi|plain lassi,,1,215,215,0,NONE,0,n/a,,Curd thinned with water and sweetened. Mango lassi needs a mango record and is refused by name.,THIN_SOUP
chaas,Chaas (buttermilk),buttermilk|chaas|chaach|chach|mattha|majjiga|majjiga glass|neer mor,మజ్జిగ|छाछ|मट्ठा,1,200,200,0,NONE,0,n/a,,"Curd thinned with about two parts water and salted: the Indian glass. Replaces the USDA cultured-buttermilk record (172225, undiluted fermented milk at 62 kcal per 100 g, three times a chaas) on the 20 Sep US-record sweep. Roasted cumin and coriander leaves are a garnish and not counted.",THIN_DRINK
