# THE RULE (standing, ruled by Vedant on 20 September 2026): every new dish alias is asked two
# questions before it is added, and the answers go in this file:
#   1. What does the name CONTAIN? If it contains an ingredient's name, it collapses onto that
#      ingredient through containment unless a recipe or a no-data row holds it.
#   2. What happens if the dish is NOT in the tables? The answer must be a refusal by name, a
#      recipe, or an honest miss; never a base ingredient's figures under the dish's name.
# A dish alias that is not in this file has not been asked, and does not ship.
#
# Qualified dish names, swept for the bug class found in 0026: a dish name that CONTAINS a base
# ingredient's name collapses onto that ingredient through the matcher's containment stage, and
# the oil, the other ingredients and the dish's own figures are silently dropped. "fried rice"
# resolved to plain cooked rice. This file is every such name the sweep tried, with what each
# must do. docs/decisions/0034.
#
# AUTHORED, by one hand, from the dishes a demo speaker plausibly names: the utterance set's
# dishes, Jacob's code-mix list, and the common canteen and home plates. It is the regression
# guard for the class, not a census of Indian food.
#
# expect:
#   <recipe_key>    a recipe exists and the name must resolve to it, never to an ingredient
#   <food_key>      the qualifier is a cooking method on ONE food and resolving to that food is
#                   right (the extraction carries the method separately): boiled egg -> egg
#   NODATA:<key>    a composed dish with no recipe: refused BY NAME, never fuzzy, never an ingredient
#   MISS            no recipe and no ingredient name inside it: an honest miss is fine
#
# base: the ingredient the name contains, which is what it would collapse onto.
utterance,base,expect,note
chicken fry,chicken,NODATA:chicken_fry,
fish fry,fish,NODATA:fish_fry,shallow fried in oil and masala
fish curry,fish,fish_pulusu,recipe exists
prawn curry,prawn,royyala_iguru,recipe exists
prawn fry,prawn,royyala_iguru,the prawn recipe already claims this name; the importer's collision assertion caught the sweep labelling it no-data
egg curry,egg,egg_curry,recipe exists
egg bhurji,egg,egg_bhurji,authored in the sweep; resolved to raw egg before
egg omelette,egg,omelette,recipe exists
masala omelette,egg,omelette,recipe exists; the qualifier is the same dish
boiled egg,egg,egg,a method on one food; the extraction carries it
fried egg,egg,fried_egg,authored in the sweep; resolved to raw egg before and dropped the oil
bread omelette,egg,NODATA:bread_omelette,
egg sandwich,egg,egg_sandwich,authored in the sweep; resolved to raw egg before
paneer butter masala,paneer,NODATA:paneer,paneer itself is refused by name
palak paneer,paneer,NODATA:paneer,the SUGGEST example in the brief; refused by name until paneer exists
matar paneer,paneer,NODATA:paneer,
paneer tikka,paneer,NODATA:paneer,
dal makhani,dal,NODATA:dal_makhani,butter and cream; not dal tadka
dal fry,dal,toor_dal_tadka,the same dish as dal tadka by another name
dal tadka,dal,toor_dal_tadka,recipe exists
chana masala,chana,chana_masala,recipe exists
chole bhature,chana,NODATA:chole_bhature,
rajma chawal,rice,NODATA:rajma_chawal,no kidney bean record either
aloo paratha,aloo,NODATA:aloo_paratha,
aloo fry,aloo,aloo_fry,recipe exists
aloo curry,aloo,aloo_curry,recipe exists
boiled potato,potato,potato,a method on one food
gobi manchurian,cauliflower,NODATA:gobi_manchurian,deep fried and sauced
bhindi fry,bhindi,bendakaya_fry,recipe exists
masala dosa,dosa,masala_dosa,recipe exists
plain dosa,dosa,plain_dosa,recipe exists
rava dosa,dosa,NODATA:rava_dosa,a different batter
onion dosa,dosa,NODATA:onion_dosa,
idli sambar,idli,NODATA:idli_sambar,two dishes said as one item; resolved to sambar alone before and dropped the idli
vada sambar,vada,NODATA:vada_sambar,two dishes said as one item; resolved to sambar alone before
masala chai,tea,chai,the chai recipe
black tea,tea,tea_brewed,the record for tea without milk
cold coffee,coffee,cold_coffee,authored in the sweep; resolved to hot milk coffee before
filter coffee,coffee,coffee_milk,the coffee recipe
mango lassi,curd,NODATA:mango_lassi,no mango fruit record
sweet lassi,curd,sweet_lassi,authored in the sweep
banana shake,banana,banana_shake,authored in the sweep; resolved to a plain banana before
fruit salad,fruit,NODATA:fruit_salad,
cheese sandwich,cheese,cheese_sandwich,authored in the sweep; resolved to cheese alone before
veg sandwich,bread,NODATA:veg_sandwich,
bread butter,bread,bread_butter,authored in the sweep; resolved to butter alone before
chutney,chutney,coconut_chutney,"22 Sep: a bare chutney is the coconut one beside idli and dosa; the plate shows 'Coconut chutney', so the assumption is on the face (0035)"
chatni,chutney,coconut_chutney,"22 Sep: Rao's transliteration of chatni; the same recipe"
peanut chutney,chutney,peanut_chutney,"22 Sep: must not collapse onto the bare alias"
tomato chutney,chutney,tomato_pachadi,"22 Sep: an alias of the pachadi recipe, not the bare chutney"
gongura chutney,chutney,gongura_pachadi,"22 Sep"
mint chutney,chutney,NODATA:mint_chutney,"22 Sep: no recipe; refused by name, never coconut"
green chutney,chutney,NODATA:mint_chutney,"22 Sep"
garlic chutney,chutney,NODATA:onion_chutney,"22 Sep"
mango chutney,chutney,NODATA:onion_chutney,"22 Sep"
