# Ingredients per reference recipe, in grams of the RAW ingredient as bought.
#
# role:
#   MAIN          the substance of the dish
#   TEMPER        tadka or popu; poured in and eaten in full
#   ABSORBED_FAT  fat the finished dish RETAINS from frying. Never the frying bath.
#                 Its grams must equal absorbed_oil_g in recipes.csv, and the importer checks it.
#
# Water is not an ingredient row. Water gained or lost is stated once per recipe as
# water_change_g, so the arithmetic is visible rather than hidden in a rounding.
recipe_key,ingredient_key,grams,role,note
lemon_rice,turmeric,3,MAIN,
lemon_rice,salt,5,MAIN,
lemon_rice,groundnut_oil,25,TEMPER,
tamarind_rice,rice_raw,200,MAIN,
tamarind_rice,tamarind,40,MAIN,
tamarind_rice,peanuts_raw,30,TEMPER,
tamarind_rice,chana_dal,10,TEMPER,
tamarind_rice,sesame_seeds,10,MAIN,
tamarind_rice,red_chilli_powder,6,MAIN,
tamarind_rice,mustard_seed,4,TEMPER,
tamarind_rice,turmeric,3,MAIN,
tamarind_rice,salt,5,MAIN,
tamarind_rice,groundnut_oil,25,TEMPER,
veg_biryani,rice_raw,300,MAIN,
veg_biryani,onion,150,MAIN,
veg_biryani,tomato,100,MAIN,
veg_biryani,carrot,80,MAIN,
veg_biryani,green_peas,60,MAIN,
veg_biryani,french_beans,60,MAIN,
veg_biryani,potato,80,MAIN,
veg_biryani,curd,80,MAIN,
veg_biryani,mint,15,MAIN,
veg_biryani,coriander_leaves,15,MAIN,
veg_biryani,ginger,10,MAIN,
veg_biryani,garlic,10,MAIN,
veg_biryani,green_chilli,15,MAIN,
veg_biryani,cardamom,2,MAIN,
veg_biryani,cloves,2,MAIN,
veg_biryani,cinnamon,2,MAIN,
veg_biryani,bay_leaf,1,MAIN,
veg_biryani,turmeric,2,MAIN,
veg_biryani,salt,6,MAIN,
veg_biryani,groundnut_oil,25,TEMPER,
veg_biryani,ghee,15,TEMPER,
chicken_biryani,rice_raw,300,MAIN,
chicken_biryani,chicken,400,MAIN,
chicken_biryani,onion,150,MAIN,
chicken_biryani,tomato,100,MAIN,
chicken_biryani,curd,100,MAIN,
chicken_biryani,mint,15,MAIN,
chicken_biryani,coriander_leaves,15,MAIN,
chicken_biryani,ginger,12,MAIN,
chicken_biryani,garlic,12,MAIN,
chicken_biryani,green_chilli,15,MAIN,
chicken_biryani,red_chilli_powder,8,MAIN,
chicken_biryani,cardamom,2,MAIN,
chicken_biryani,cloves,2,MAIN,
chicken_biryani,cinnamon,2,MAIN,
chicken_biryani,bay_leaf,1,MAIN,
chicken_biryani,turmeric,2,MAIN,
chicken_biryani,salt,7,MAIN,
chicken_biryani,groundnut_oil,30,TEMPER,
chicken_biryani,ghee,15,TEMPER,
gongura_pachadi,gongura,250,MAIN,
gongura_pachadi,green_chilli,30,MAIN,
gongura_pachadi,garlic,10,MAIN,
gongura_pachadi,mustard_seed,4,TEMPER,
gongura_pachadi,cumin,3,TEMPER,
gongura_pachadi,salt,5,MAIN,
gongura_pachadi,sesame_oil,20,TEMPER,
tomato_pachadi,tomato,280,MAIN,
tomato_pachadi,green_chilli,20,MAIN,
tomato_pachadi,garlic,10,MAIN,
tomato_pachadi,tamarind,10,MAIN,
tomato_pachadi,mustard_seed,4,TEMPER,
tomato_pachadi,urad_dal,5,TEMPER,
tomato_pachadi,salt,5,MAIN,
tomato_pachadi,sesame_oil,18,TEMPER,
coconut_chutney,coconut_fresh,120,MAIN,
coconut_chutney,chana_dal,20,MAIN,
coconut_chutney,green_chilli,12,MAIN,
coconut_chutney,ginger,5,MAIN,
coconut_chutney,mustard_seed,3,TEMPER,
coconut_chutney,salt,3,MAIN,
coconut_chutney,groundnut_oil,10,TEMPER,
peanut_chutney,peanuts_roasted,120,MAIN,
peanut_chutney,green_chilli,15,MAIN,
peanut_chutney,garlic,8,MAIN,
peanut_chutney,tamarind,8,MAIN,
peanut_chutney,mustard_seed,3,TEMPER,
peanut_chutney,salt,4,MAIN,
peanut_chutney,groundnut_oil,10,TEMPER,
bagara_baingan,brinjal,300,MAIN,
bagara_baingan,onion,100,MAIN,
bagara_baingan,peanuts_raw,40,MAIN,
bagara_baingan,sesame_seeds,25,MAIN,
bagara_baingan,coconut_dried,20,MAIN,
bagara_baingan,tamarind,20,MAIN,
bagara_baingan,red_chilli_powder,8,MAIN,
bagara_baingan,coriander_seed,6,MAIN,
bagara_baingan,cumin,4,MAIN,
bagara_baingan,ginger,8,MAIN,
bagara_baingan,garlic,8,MAIN,
bagara_baingan,turmeric,2,MAIN,
bagara_baingan,salt,5,MAIN,
bagara_baingan,groundnut_oil,40,TEMPER,
gutti_vankaya,brinjal,320,MAIN,
gutti_vankaya,onion,90,MAIN,
gutti_vankaya,peanuts_raw,35,MAIN,
gutti_vankaya,coconut_dried,20,MAIN,
gutti_vankaya,tamarind,15,MAIN,
gutti_vankaya,red_chilli_powder,8,MAIN,
gutti_vankaya,coriander_seed,6,MAIN,
gutti_vankaya,cumin,4,MAIN,
gutti_vankaya,garlic,8,MAIN,
gutti_vankaya,turmeric,2,MAIN,
gutti_vankaya,salt,5,MAIN,
gutti_vankaya,groundnut_oil,35,TEMPER,
bendakaya_fry,okra,450,MAIN,
bendakaya_fry,onion,50,MAIN,
bendakaya_fry,red_chilli_powder,6,MAIN,
bendakaya_fry,turmeric,2,MAIN,
bendakaya_fry,mustard_seed,3,TEMPER,
bendakaya_fry,salt,4,MAIN,
bendakaya_fry,groundnut_oil,30,SHALLOW_FRY_RETAINED,
aloo_fry,potato,450,MAIN,
aloo_fry,onion,50,MAIN,
aloo_fry,red_chilli_powder,6,MAIN,
aloo_fry,turmeric,2,MAIN,
aloo_fry,mustard_seed,3,TEMPER,
aloo_fry,salt,4,MAIN,
aloo_fry,groundnut_oil,30,SHALLOW_FRY_RETAINED,
cabbage_koora,cabbage,450,MAIN,
cabbage_koora,green_peas,60,MAIN,
cabbage_koora,green_chilli,10,MAIN,
cabbage_koora,turmeric,2,MAIN,
cabbage_koora,mustard_seed,3,TEMPER,
cabbage_koora,urad_dal,5,TEMPER,
cabbage_koora,salt,4,MAIN,
cabbage_koora,groundnut_oil,18,TEMPER,
beerakaya_koora,ridge_gourd,500,MAIN,
beerakaya_koora,onion,60,MAIN,
beerakaya_koora,green_chilli,10,MAIN,
beerakaya_koora,turmeric,2,MAIN,
beerakaya_koora,mustard_seed,3,TEMPER,
beerakaya_koora,salt,4,MAIN,
beerakaya_koora,groundnut_oil,18,TEMPER,
sorakaya_koora,bottle_gourd,500,MAIN,
sorakaya_koora,onion,50,MAIN,
sorakaya_koora,green_chilli,10,MAIN,
sorakaya_koora,turmeric,2,MAIN,
sorakaya_koora,mustard_seed,3,TEMPER,
sorakaya_koora,salt,4,MAIN,
sorakaya_koora,groundnut_oil,18,TEMPER,
thotakura_pappu,toor_dal_raw,150,MAIN,
thotakura_pappu,thotakura,200,MAIN,
thotakura_pappu,tomato,80,MAIN,
thotakura_pappu,green_chilli,12,MAIN,
thotakura_pappu,garlic,10,MAIN,
thotakura_pappu,turmeric,2,MAIN,
thotakura_pappu,mustard_seed,3,TEMPER,
thotakura_pappu,cumin,3,TEMPER,
thotakura_pappu,salt,5,MAIN,
thotakura_pappu,groundnut_oil,18,TEMPER,
palakura_pappu,toor_dal_raw,150,MAIN,
palakura_pappu,palakura,200,MAIN,
palakura_pappu,tomato,80,MAIN,
palakura_pappu,green_chilli,12,MAIN,
palakura_pappu,garlic,10,MAIN,
palakura_pappu,turmeric,2,MAIN,
palakura_pappu,mustard_seed,3,TEMPER,
palakura_pappu,cumin,3,TEMPER,
palakura_pappu,salt,5,MAIN,
palakura_pappu,groundnut_oil,18,TEMPER,
dosakaya_pappu,toor_dal_raw,160,MAIN,
dosakaya_pappu,tomato,220,MAIN,
dosakaya_pappu,onion,60,MAIN,
dosakaya_pappu,green_chilli,12,MAIN,
dosakaya_pappu,garlic,10,MAIN,
dosakaya_pappu,turmeric,2,MAIN,
dosakaya_pappu,mustard_seed,3,TEMPER,
dosakaya_pappu,cumin,3,TEMPER,
dosakaya_pappu,salt,5,MAIN,
dosakaya_pappu,groundnut_oil,18,TEMPER,
munagakaya_sambar,toor_dal_raw,120,MAIN,
munagakaya_sambar,drumstick_pod,200,MAIN,
munagakaya_sambar,tomato,100,MAIN,
munagakaya_sambar,onion,70,MAIN,
munagakaya_sambar,tamarind,20,MAIN,
munagakaya_sambar,coriander_seed,8,MAIN,
munagakaya_sambar,red_chilli_powder,6,MAIN,
munagakaya_sambar,turmeric,2,MAIN,
munagakaya_sambar,mustard_seed,3,TEMPER,
munagakaya_sambar,salt,5,MAIN,
munagakaya_sambar,groundnut_oil,15,TEMPER,
chicken_curry,chicken,500,MAIN,
chicken_curry,onion,150,MAIN,
chicken_curry,tomato,120,MAIN,
chicken_curry,curd,60,MAIN,
chicken_curry,ginger,12,MAIN,
chicken_curry,garlic,12,MAIN,
chicken_curry,red_chilli_powder,10,MAIN,
chicken_curry,coriander_seed,8,MAIN,
chicken_curry,turmeric,3,MAIN,
chicken_curry,cardamom,2,MAIN,
chicken_curry,cinnamon,2,MAIN,
chicken_curry,cloves,2,MAIN,
chicken_curry,coriander_leaves,10,MAIN,
chicken_curry,salt,6,MAIN,
chicken_curry,groundnut_oil,45,TEMPER,
mutton_curry,goat_meat,500,MAIN,
mutton_curry,onion,160,MAIN,
mutton_curry,tomato,120,MAIN,
mutton_curry,curd,70,MAIN,
mutton_curry,ginger,14,MAIN,
mutton_curry,garlic,14,MAIN,
mutton_curry,red_chilli_powder,10,MAIN,
mutton_curry,coriander_seed,8,MAIN,
mutton_curry,turmeric,3,MAIN,
mutton_curry,cardamom,2,MAIN,
mutton_curry,cinnamon,2,MAIN,
mutton_curry,cloves,2,MAIN,
mutton_curry,salt,6,MAIN,
mutton_curry,groundnut_oil,50,TEMPER,
egg_curry,egg,300,MAIN,
egg_curry,onion,150,MAIN,
egg_curry,tomato,150,MAIN,
egg_curry,ginger,10,MAIN,
egg_curry,garlic,10,MAIN,
egg_curry,red_chilli_powder,8,MAIN,
egg_curry,coriander_seed,6,MAIN,
egg_curry,turmeric,2,MAIN,
egg_curry,coriander_leaves,10,MAIN,
egg_curry,salt,5,MAIN,
egg_curry,groundnut_oil,30,TEMPER,
fish_pulusu,fish_carp,450,MAIN,
fish_pulusu,onion,120,MAIN,
fish_pulusu,tomato,120,MAIN,
fish_pulusu,tamarind,35,MAIN,
fish_pulusu,red_chilli_powder,10,MAIN,
fish_pulusu,coriander_seed,8,MAIN,
fish_pulusu,fenugreek_seed,3,MAIN,
fish_pulusu,ginger,10,MAIN,
fish_pulusu,garlic,10,MAIN,
fish_pulusu,turmeric,3,MAIN,
fish_pulusu,mustard_seed,3,TEMPER,
fish_pulusu,salt,6,MAIN,
fish_pulusu,groundnut_oil,35,TEMPER,
royyala_iguru,prawn,400,MAIN,
royyala_iguru,onion,140,MAIN,
royyala_iguru,tomato,80,MAIN,
royyala_iguru,ginger,10,MAIN,
royyala_iguru,garlic,10,MAIN,
royyala_iguru,red_chilli_powder,10,MAIN,
royyala_iguru,coriander_seed,6,MAIN,
royyala_iguru,turmeric,3,MAIN,
royyala_iguru,coriander_leaves,10,MAIN,
royyala_iguru,salt,5,MAIN,
royyala_iguru,groundnut_oil,35,SHALLOW_FRY_RETAINED,
omelette,egg,110,MAIN,
omelette,onion,15,MAIN,
omelette,green_chilli,5,MAIN,
omelette,salt,2,MAIN,
omelette,groundnut_oil,10,ABSORBED_FAT,
sprouts_salad,sprouted_moong,160,MAIN,
sprouts_salad,onion,25,MAIN,
sprouts_salad,tomato,12,MAIN,
sprouts_salad,green_chilli,3,MAIN,
jowar_roti,jowar,148,MAIN,
jowar_roti,salt,2,MAIN,
aloo_curry,potato,400,MAIN,
aloo_curry,onion,120,MAIN,
aloo_curry,tomato,80,MAIN,
aloo_curry,green_chilli,10,MAIN,
aloo_curry,ginger,8,MAIN,
aloo_curry,garlic,8,MAIN,
aloo_curry,turmeric,2,MAIN,
aloo_curry,red_chilli_powder,6,MAIN,
aloo_curry,mustard_seed,3,TEMPER,
aloo_curry,salt,4,MAIN,
aloo_curry,groundnut_oil,25,TEMPER,
chana_masala,chana_dal,200,MAIN,
chana_masala,onion,120,MAIN,
chana_masala,tomato,120,MAIN,
chana_masala,ginger,10,MAIN,
chana_masala,garlic,10,MAIN,
chana_masala,red_chilli_powder,8,MAIN,
chana_masala,coriander_seed,6,MAIN,
chana_masala,cumin,4,MAIN,
chana_masala,turmeric,2,MAIN,
chana_masala,coriander_leaves,10,MAIN,
chana_masala,salt,5,MAIN,
chana_masala,groundnut_oil,25,TEMPER,
rice_kheer,milk_whole,400,MAIN,
rice_kheer,rice_raw,50,MAIN,
rice_kheer,sugar,60,MAIN,
rice_kheer,cashew,20,MAIN,
rice_kheer,cardamom,2,MAIN,
rice_kheer,ghee,15,TEMPER,
