# Items we deliberately have NO data for. They resolve to a named "no data" result, never to a
# substitute. The app names the item, says it has no nutrition data, and moves on.
#
# This file exists so the absence is a deliberate, reviewed decision rather than a gap nobody
# noticed. See docs/decisions/0002-usda-import-rules.md.
key,"display_name","aliases_roman","reason"
fried_rice,"Fried rice","fried rice|veg fried rice|egg fried rice|chicken fried rice|ఫ్రైడ్ రైస్|ఫైడ్ రైస్|फ्राइड राइस","No reference recipe authored yet. Without this entry the name collapses onto plain cooked rice through containment (the word rice inside it), which drops the oil and the vegetables: a wrong number, found on the ASR model's own rendering. Refused by name, never fuzzy, until a recipe exists. te/hi aliases GENERATED, unreviewed: see log-words-review.md"
pulao,"Pulao","pulao|pulav|veg pulao|vegetable pulao|chicken pulao|peas pulao|matar pulao","No reference recipe yet; a pulao carries oil or ghee and vegetables or meat the rice record does not. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
egg_biryani,"Egg biryani","egg biryani|anda biryani","No recipe; it is not the vegetable biryani it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
mutton_biryani,"Mutton biryani","mutton biryani|gosht biryani|goat biryani","No recipe; it is not the vegetable biryani it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
rasam_rice,"Rasam rice","rasam rice|rasam annam|charu annam|rasam sadam","Rasam and rice exist separately; said as one dish the plate has no recipe and resolved to rasam alone. Say them separately, or refused by name."
idli_sambar,"Idli sambar, said as one item","idli sambar|idly sambar|idli sambhar","Two dishes that both exist, said as one item, which resolved to sambar alone and dropped the idli. Say them separately: two idli and sambar."
vada_sambar,"Vada sambar, said as one item","vada sambar|vada sambhar|sambar vada","Two dishes that both exist, said as one item, which resolved to sambar alone and dropped the vada. Say them separately."
butter_chicken,"Butter chicken","butter chicken|murgh makhani|chicken makhani","No recipe; a cream and butter gravy, none of which is in the chicken breast record it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
chilli_chicken,"Chilli chicken","chilli chicken|chili chicken","No recipe; deep fried and sauced, not the chicken breast record it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
chicken_65,"Chicken 65","chicken 65|chicken sixty five","No recipe; deep fried, not the chicken breast record it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
chicken_tikka,"Chicken tikka","chicken tikka","No recipe; marinated in curd and oil. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
tandoori_chicken,"Tandoori chicken","tandoori chicken","No recipe; marinated in curd and oil. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
chicken_fry,"Chicken fry","chicken fry|chicken vepudu|kodi vepudu|chicken roast","No recipe; fried in oil and masala. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
fish_fry,"Fish fry","fish fry|chepala vepudu|fried fish","No recipe; shallow fried in oil and masala, not the raw carp record it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
bread_omelette,"Bread omelette","bread omelette|bread omlet|omelette sandwich","No recipe; an omelette with two slices of bread, which resolved to the omelette alone. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
dal_makhani,"Dal makhani","dal makhani|makhani dal","No recipe; whole urad with butter and cream, not the toor dal tadka it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
chole_bhature,"Chole bhature","chole bhature|chole bhatura|chana bhatura|bhature|bhatura","No recipe; the bhature is deep fried, and the plate resolved to chana masala alone. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
rajma_chawal,"Rajma chawal","rajma chawal|rajma rice|rajma","No kidney bean record and no recipe; it resolved to plain rice. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
aloo_paratha,"Aloo paratha","aloo paratha|potato paratha|paratha|parantha","No recipe; a stuffed griddle bread fried in oil, which resolved to the raw potato record. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
gobi_manchurian,"Gobi manchurian","gobi manchurian|cauliflower manchurian|manchurian|veg manchurian","No recipe; deep fried and sauced, which resolved to raw cauliflower. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
rava_dosa,"Rava dosa","rava dosa|rawa dosa","No recipe; a different batter from the plain dosa it resolved to. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
onion_dosa,"Onion dosa","onion dosa|onion uthappam|uttapam|uthappam|onion uttapam","No recipe; a dosa with onion, which resolved to the onion. Without this entry the name collapses onto one of its ingredients through containment, a wrong number (0034 sweep). Refused by name, never fuzzy, until a recipe is authored."
mango_lassi,"Mango lassi","mango lassi","No mango fruit record (only the nectar) and no recipe. Refused by name."
fruit_salad,"Fruit salad","fruit salad|mixed fruit|fruit bowl","No recipe: the fruit varies by the bowl. Say the fruits."
veg_sandwich,"Veg sandwich","veg sandwich|vegetable sandwich|bombay sandwich","No recipe: the filling varies. Bread and butter, cheese sandwich and egg sandwich have recipes."
